WEBSITE,USERNAME,LOCATION,ADDRESS,BIG_3_LOCATION,SCORE,DATE,USER_URL,USER_LOCATION,USER_REVIEW_COUNT,USER_FRIEND_COUNT,USER_USEFUL_COUNT,USER_FUNNY_COUNT,USER_COOL_COUNT,USER_COMPLIMENT_COUNT,JOINED,CONTET
"YELP","Chelsea M.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","5.0","2015-11-25","http://www.yelp.com/user_details?userid=0wDdD4O2iD7vYfGbsiNWkw","Brooklyn, NY","72","57","0","0","0","0","Unknown","I really like this cafe, it&#39;s small and a good change from javas they have delicious lunch options! The chicken pesto sandwich is great as well as the homage pickles."
"YELP","Stanley M.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","4.0","2015-05-10","http://www.yelp.com/user_details?userid=oAvJPTA1WRiISGYb0xGtrA","Pittsford, NY","432","159","807","639","259","240","May 2010","Ludwig&#39;s chicken breast sandwich cannot be beat! Superb little restaurant nestled in the heart of Gibb&#39;s street. If you&#39;re in area, stop on by. Amy &amp; her crew will take good care of you!"
"YELP","Jessa I.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","4.0","2015-02-22","http://www.yelp.com/user_details?userid=rVFoBWjjZBnWmp8V68AhqA","Rochester, NY","106","40","163","56","71","28","October 2014","Such a good cafe to order a sandwhich on the go. I work right down the street and the only options are sit down restaurants. I usually order the sandwhich special of the day and I&#39;m never disappointed. I&#39;d suggest calling ahead to order since there&#39;s not that many cooks. Side note is that there is a minimum for credit card use."
"YELP","Megan S.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","4.0","2015-02-02","http://www.yelp.com/user_details?userid=zmRCdQv8MPzN93ml27X_aQ","Seattle, WA","69","45","105","87","57","43","August 2014","I love Ludwig&#39;s.  Every time I&#39;m by the Eastman School, I stop by.  I&#39;ve never gotten a sandwich I didn&#39;t like.  My brother loves their sandwiches as well.  The chicken portobello melt is my favorite.  The homemade pickles are very good as well and the breakfast sandwiches are good.   The two things I don&#39;t like about this place are (some of) the prices and the hours.  It&#39;s 6-7 for a sandwich with a side.  Sandwiches are delicious and relatively large, but I still think the price is a bit high.  Hours are limited--it&#39;s only open on weekdays during breakfast and lunch time, sadly."
"YELP","Dirk W.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","5.0","2014-01-06","http://www.yelp.com/user_details?userid=IEMp1JWizoSsixDmxokZYA","Rochester, NY","61","17","194","215","116","111","August 2012","Wow! I just had the best bowl of clam chowder... ok two bowls (lol) I&#39;m still a growing boy!  Big chunks of clam, leaks, potatoes....omg it was crazy.  My tip don&#39;t get the crackers opt for the hard roll. SOOOOOOO GOOD!  They run out of seats kinda quick and the soup is only served on Fridays.  Not telling you to get there early just informing you of the rush.   This must be a new recipe because I have had this chowder before, but this time wow... just wow!  Oh and the chili there is still the best I have tasted, but Fridays belong to the &#34;Chowder&#34; lol. Enjoy.  I would post a picture but I&#39;m staring at an empty bowl. Get your own."
"YELP","Saul M.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","4.0","2014-06-27","http://www.yelp.com/user_details?userid=DFyK6XJ-HRv3VWeAKnmfuw","Rochester, NY","178","204","382","743","206","113","February 2013","I&#39;m not a fan of the cold sandwich so having the flat top at Ludwig&#39;s is clutch! The prices are reasonable especially given their location. I have yet to try their baked good but I notice they have goat cheese brownies which I have been meaning to try ever since the Bobby Flay Throwdown episode when he took on the ladies from the Vermont Brownie Company. Sandwiches come with a side and I went with pickles. It was a great decision because I would keep coming back just for the pickles!!! The woman who waited on me was pleasant and asked how my day was going so though I don&#39;t penalize for service that isn&#39;t above and beyond, I do give credit for niceness."
"YELP","Calin L.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","3.0","2014-04-03","http://www.yelp.com/user_details?userid=ODCVsCiT85MFVdoW7wgLEA","Rochester, NY","18","25","35","63","19","20","February 2014","Great prices on good portions of food. You can get almost anything you want made to order; however the specials are always worth a try. They list their specials each day online so check the website before you go. Service is a bit slow since everything is made to order, so you will have to wait, but the staff are incredibly friendly and do their best to remember all the regulars. Good for breakfast and lunch."
"YELP","Steve C.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","2.0","2014-08-07","http://www.yelp.com/user_details?userid=-x6DrGfaGqqEjVcnU2zloQ","Spencerport, NY","3","0","4","0","0","0","Unknown","I&#39;ve eaten at Ludwig&#39;s more than a handful of times and while the food is good I&#39;m frequently disappointed with the service.  For the SECOND time in two weeks I&#39;ve been given the wrong TO GO order.  I make it back to my office before finding out I&#39;ve got someone else&#39;s sandwhich.  That doesn&#39;t really sit well with me considering the 20 minute wait to get my food once I&#39;ve ordered.  Add to that, I typically wait until later in the afternoon to go because I&#39;d rather avoid the lunch rush.  Decent food, fix the service!"
"YELP","Danielle G.","ludwigs-center-stage-cafe-rochester","25 Gibbs St, Rochester, NY 14604","East End","4.0","2010-11-18","http://www.yelp.com/user_details?userid=T18xq16eWQkfqhbDSlFx5A","Rochester, NY","23","8","47","4","28","8","May 2008","This deli is actually under new management and it is called &#34;Ludwig&#39;s Center Stage Cafe&#34;.  This place is right near work and I love it! The new owners have been getting pretty creative with the menu too! Chilled soups, quiche, pies, new sauces and sandwiches (just to name a few). This is a great place for lunch. Josh, the main cook works the grill and makes the best food.  Best, and most important of all... they named a sandwich special after me! This just goes to show, they really care about their customers. They try to remember everyone and it&#39;s so cool. So go. Try the &#34;Danielle d&#39;entree&#34; and think of me! =)"
"YELP","Christine V.","golden-port-dim-sum-rochester","105 East Ave, Rochester, NY 14604","East End","3.0","2015-09-19","http://www.yelp.com/user_details?userid=eetOmqZ3UzV3SqFY7K5xtA","San Francisco, CA","6","2","0","0","0","0","Unknown","My parents and I had an hour before the mega bus so we decided to grab some food, and this dim sum place was the closest Chinese option around.  We were the only customers in the store and the waiter was very nice. We ordered the egg custard tart, fried veggie  spring roll, beef chow fun, and thousand year old egg porridge with pork. Personally, I would not order the egg custard tart again because it was a bit too sweet for my taste. Otherwise, it&#39;s good. The spring rolls were fresh, light, and crispy. The beef chow fun was fresh from the wok and the noodles were al dente, in addition the meat was surprisingly buttery and not tough. The porridge has a peculiar taste, and not everyone would enjoy it. But personally it was yummy and helped cleansed my stomach.  In conclusion, Compared to all the dim sum I&#39;ve eaten so far, this place was on par."
